"listing_id","listing_name","cnt_reviews"
17471,"Hostel in Barcelona · ★4.51 · 1 bedroom · 1 bed · 1 shared bath","164"
14247,"Serviced apartment in Barcelona · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths","69"
6710,"Boutique hotel in Barcelona · ★4.82 · 1 bedroom · 1 bed · 1 private bath","60"
16393,"Serviced apartment in Eixample · ★4.85 · 2 bedrooms · 3 beds · 1 bath","48"
13550,"Serviced apartment in Barcelona · ★4.81 · 2 bedrooms · 4 beds · 2 baths","47"
10742,"Serviced apartment in Barcelona · ★4.85 · 2 bedrooms · 4 beds · 2 baths","37"
7052,"Rental unit in Barcelona · ★4.78 · 1 bedroom · 2 beds · 1 bath","35"
16569,"Hotel in Barcelona · ★4.60 · 1 bedroom · 1 bed · 0 shared baths","34"
11992,"Rental unit in Barcelona · ★4.66 · 1 bedroom · 2 beds · 1 bath","34"
15412,"Hotel in Barcelona · ★4.42 · Studio · 1 bed · 1 private bath","31"
6467,"Hostel in Barcelona · ★4.70 · 1 bedroom · 16 beds · 1 shared bath","31"
9217,"Hotel in Barcelona · ★4.76 · 1 bedroom · 1 bed · 1 private bath","30"
8294,"Serviced apartment in Barcelona · ★4.71 · 1 bedroom · 2 beds · 1 bath","30"
10304,"Rental unit in Barcelona · ★4.61 · 2 bedrooms · 3 beds · 1 bath","29"
15047,"Hotel in Barcelona · ★4.68 · 1 bedroom · 1 bed · 1 private bath","29"
9443,"Serviced apartment in Barcelona · ★4.74 · 1 bedroom · 2 beds · 1 bath","28"
3027,"Serviced apartment in Barcelona · ★4.93 · 3 bedrooms · 4 beds · 2 baths","28"
13307,"Serviced apartment in Barcelona · ★4.82 · 3 bedrooms · 5 beds · 2 baths","28"
10796,"Hostel in Barcelona · ★4.46 · 1 bedroom · 1 bed · 5 shared baths","27"
17694,"Serviced apartment in Barcelona · ★4.76 · 2 bedrooms · 3 beds · 1 bath","26"
529,"Serviced apartment in Barcelona · ★4.89 · 2 bedrooms · 3 beds · 2 baths","26"
9919,"Hostel in Barcelona · ★4.32 · 1 bedroom · 1 bed · 1 shared bath","25"
6675,"Hostel in Barcelona · ★4.47 · 1 bedroom · 1 bed · 1 shared bath","25"
8142,"Serviced apartment in Barcelona · ★4.70 · 1 bedroom · 1 bed · 1 bath","25"
7956,"Serviced apartment in Barcelona · ★4.57 · 1 bedroom · 3 beds · 1 private bath","23"
6741,"Hostel in Barcelona · ★4.55 · 1 bedroom · 10 beds · 1 shared bath","23"
12617,"Serviced apartment in Barcelona · ★4.81 · 2 bedrooms · 4 beds · 1 bath","23"
4316,"Rental unit in Barcelona · ★4.53 · 3 bedrooms · 6 beds · 2 baths","23"
18142,"Hostel in Barcelona · ★4.76 · 1 bedroom · 2 beds · 1 private bath","22"
5618,"Hostel in Barcelona · ★4.75 · 1 bedroom · 1 bed · 1 private bath","21"
1571,"Hostel in Barcelona · ★4.82 · 1 bedroom · 1 bed · Shared half-bath","21"
12466,"Serviced apartment in Barcelona · ★4.53 · 3 bedrooms · 4 beds · 2 baths","21"
3754,"Rental unit in Barcelona · ★4.75 · 1 bedroom · 1 bed · 1 bath","21"
12315,"Rental unit in Barcelona · ★4.35 · 2 bedrooms · 4 beds · 1 bath","20"
1414,"Aparthotel in Barcelona · ★4.44 · 1 bedroom · 1 bed · 1 private bath","20"
7782,"Serviced apartment in Barcelona · ★4.92 · 1 bedroom · 1 bed · 1 bath","19"
7055,"Serviced apartment in Barcelona · ★4.54 · Studio · 3 beds · 1 bath","19"
8305,"Hotel in Barcelona · ★4.81 · 1 bedroom · 1 bed · 1 shared bath","18"
8182,"Serviced apartment in Barcelona · ★4.56 · 2 bedrooms · 4 beds · 1 bath","18"
2648,"Rental unit in Barcelona · ★4.68 · 1 bedroom · 2 beds · 1 bath","18"
161,"Yurt in Barcelona · ★4.89 · 1 bedroom · 1 bed · 1 bath","18"
2145,"Serviced apartment in Barcelona · ★4.93 · 4 bedrooms · 9 beds · 2 baths","18"
14962,"Hotel in Barcelona · ★4.18 · Studio · 1 bed · 1 private bath","18"
8517,"Serviced apartment in Barcelona · ★4.96 · 3 bedrooms · 8 beds · 2 baths","18"
12406,"Serviced apartment in Barcelona · ★4.72 · 1 bedroom · 1 bed · 1 bath","18"
15561,"Hotel in Barcelona · ★4.65 · 1 bedroom · 1 bed · 1 private bath","17"
9667,"Serviced apartment in Barcelona · ★4.81 · 2 bedrooms · 4 beds · 1 bath","17"
13717,"Rental unit in Barcelona · ★4.87 · 2 bedrooms · 3 beds · 2 baths","17"
17356,"Vacation home in Barcelona · ★4.86 · 2 bedrooms · 4 beds · 1 bath","17"
14880,"Hotel in Barcelona · ★4.65 · 1 bedroom · 2 beds · 1 private bath","17"
